nombre,descripcion,precio,precio_oferta,stock,sku,marca,peso_tamano,categoria,destacado,activo
Chasqui Carne Perros Adultos 22 kg,"Alimento balanceado para perros adultos, sabor carne. Bolson de 22 kg. Ideal para consumo diario.",10,10,10,CHA-CARNE-22,Chasqui,22 kg,Perros,no,si
Voraz Super Sabroso Perros Adultos Carne,"Alimento para perros adultos sabor carne, con Omega. Bolson de 20 kg.",10,10,10,VOR-CARNE-20,Voraz,20 kg,Perros,no,si
Walt-Can Adultos Alto Rendimiento 20 kg,"Alimento balanceado para perros adultos, alto rendimiento. Bolson de 20 kg.",10,10,10,WAL-ADU-20,Walt-Can,20 kg,Perros,no,si
Sabrositos Perros Adultos Carne Cereales Vegetales 20 kg,"Alimento para perros sabor carne, cereales y vegetales. 21% proteinas. Bolson de 20 kg.",10,10,10,SAB-PERRO-20,Sabrositos,20 kg,Perros,no,si
Sabrositos Gatos Pescado 500 g,"Alimento para gatos sabor pescado. 30% proteinas. Presentacion 500 g.",10,10,10,SAB-GATO-500,Sabrositos,500 g,Gatos,no,si
Kongo Gold Puppies 15 kg,"Alimento premium para cachorros. Bolson de 15 kg.",10,10,10,KON-GOLD-PUP-15,Kongo,15 kg,Perros,no,si
Pupy Food Premium Perros Adultos Razas Pequenas 15 kg,"Alimento balanceado completo para perros adultos de razas pequenas, sabor carne. Bolson de 15 kg.",10,10,10,PUP-RP-15,Pupy Food,15 kg,Perros,no,si
Maintenance Criadores Adultos Carne & Pollo 22 kg,"Alimento de mantenimiento para criadores, sabor carne y pollo. Bolson de 22 kg.",10,10,10,MAI-CRIA-22,Maintenance Criadores,22 kg,Perros,no,si
Selection Dog Food Criadores Adultos 21 kg,"Alimento para perros adultos, linea criadores. Bolson de 21 kg.",10,10,10,SEL-CRIA-21,Selection,21 kg,Perros,no,si
Gandum Perros Adultos Carne 20 kg,"Alimento para perros adultos sabor carne. Bolson de 20 kg.",10,10,10,GAN-CARNE-20,Gandum,20 kg,Perros,no,si
Pedigree Vital Adulto 15 kg,"Alimento para perros adultos, linea Vital. Bolson de 15 kg.",10,10,10,PED-VITAL-15,Pedigree,15 kg,Perros,no,si
Sieger Criadores 20 kg + 2 kg gratis,"Alimento para perros linea criadores. Bolson de 20 kg + 2 kg de regalo.",10,10,10,SIE-CRIA-20,Sieger,20 kg,Perros,no,si
Can Club Perros Adultos,"Alimento balanceado para perros adultos. Bolson familiar.",10,10,10,CAN-CLUB-ADU,Can Club,20 kg,Perros,no,si
Carneguie Adultos Sabor Carne 15 kg,"Alimento para perros adultos, nueva formula sabor carne. Inspiracion casera. Bolson de 15 kg.",10,10,10,CAR-ADU-15,Carneguie,15 kg,Perros,no,si
Evolution Perros Adultos 20 kg,"Alimento balanceado para perros adultos. Bolson de 20 kg.",10,10,10,EVO-ADU-20,Evolution,20 kg,Perros,no,si
